-  Epoch: 20, train/loss: 0.758, train/accu: 0.783, memory: 0.096GB, iter: 100
-  Epoch: 20, train/loss: 0.768, train/accu: 0.778, memory: 0.098GB, iter: 150
-  Epoch: 20, train/loss: 0.765, train/accu: 0.780, memory: 0.098GB, iter: 200
-  Epoch: 20, train/loss: 0.766, train/accu: 0.778, memory: 0.117GB, iter: 250
-  Epoch: 20, train/loss: 0.781, train/accu: 0.776, memory: 0.131GB, iter: 300
-  Epoch: 21, train/loss: 0.773, train/accu: 0.719, memory: 0.098GB, iter: 0
-  Epoch: 21, train/loss: 0.731, train/accu: 0.770, memory: 0.129GB, iter: 50
-  Epoch: 21, train/loss: 0.782, train/accu: 0.756, memory: 0.127GB, iter: 100
-  Epoch: 21, train/loss: 0.798, train/accu: 0.754, memory: 0.094GB, iter: 150
-  Epoch: 21, train/loss: 0.787, train/accu: 0.761, memory: 0.092GB, iter: 200
-  Epoch: 21, train/loss: 0.785, train/accu: 0.764, memory: 0.125GB, iter: 250
-  Epoch: 21, train/loss: 0.792, train/accu: 0.765, memory: 0.127GB, iter: 300
-  Epoch: 22, train/loss: 1.083, train/accu: 0.562, memory: 0.115GB, iter: 0
-  Epoch: 22, train/loss: 0.722, train/accu: 0.776, memory: 0.098GB, iter: 50
-  Epoch: 22, train/loss: 0.747, train/accu: 0.776, memory: 0.123GB, iter: 100
-  Epoch: 22, train/loss: 0.753, train/accu: 0.776, memory: 0.090GB, iter: 150
-  Epoch: 22, train/loss: 0.762, train/accu: 0.772, memory: 0.086GB, iter: 200
-  Epoch: 22, train/loss: 0.768, train/accu: 0.771, memory: 0.090GB, iter: 250
-  Epoch: 22, train/loss: 0.771, train/accu: 0.771, memory: 0.096GB, iter: 300
-  Epoch: 23, train/loss: 0.775, train/accu: 0.781, memory: 0.096GB, iter: 0
-  Epoch: 23, train/loss: 0.759, train/accu: 0.778, memory: 0.107GB, iter: 50
-  Epoch: 23, train/loss: 0.781, train/accu: 0.771, memory: 0.135GB, iter: 100
-  Epoch: 23, train/loss: 0.768, train/accu: 0.773, memory: 0.135GB, iter: 150
-  Epoch: 23, train/loss: 0.773, train/accu: 0.772, memory: 0.100GB, iter: 200
-  Epoch: 23, train/loss: 0.774, train/accu: 0.771, memory: 0.135GB, iter: 250
-  Epoch: 23, train/loss: 0.764, train/accu: 0.772, memory: 0.098GB, iter: 300
-  Epoch: 24, train/loss: 1.726, train/accu: 0.594, memory: 0.113GB, iter: 0
-  Epoch: 24, train/loss: 0.764, train/accu: 0.769, memory: 0.152GB, iter: 50
-  Epoch: 24, train/loss: 0.755, train/accu: 0.769, memory: 0.131GB, iter: 100
-  Epoch: 24, train/loss: 0.751, train/accu: 0.776, memory: 0.096GB, iter: 150
-  Epoch: 24, train/loss: 0.738, train/accu: 0.779, memory: 0.131GB, iter: 200
-  Epoch: 24, train/loss: 0.737, train/accu: 0.780, memory: 0.098GB, iter: 250
-  Epoch: 24, train/loss: 0.751, train/accu: 0.776, memory: 0.098GB, iter: 300
