-  Epoch: 20, train/loss: 0.785, train/accu: 0.767, memory: 0.100GB, iter: 150
-  Epoch: 20, train/loss: 0.785, train/accu: 0.768, memory: 0.098GB, iter: 200
-  Epoch: 20, train/loss: 0.779, train/accu: 0.766, memory: 0.146GB, iter: 250
-  Epoch: 20, train/loss: 0.788, train/accu: 0.764, memory: 0.104GB, iter: 300
-  Epoch: 21, train/loss: 0.925, train/accu: 0.688, memory: 0.098GB, iter: 0
-  Epoch: 21, train/loss: 0.770, train/accu: 0.775, memory: 0.098GB, iter: 50
-  Epoch: 21, train/loss: 0.760, train/accu: 0.775, memory: 0.131GB, iter: 100
-  Epoch: 21, train/loss: 0.747, train/accu: 0.780, memory: 0.143GB, iter: 150
-  Epoch: 21, train/loss: 0.766, train/accu: 0.773, memory: 0.131GB, iter: 200
-  Epoch: 21, train/loss: 0.771, train/accu: 0.773, memory: 0.100GB, iter: 250
-  Epoch: 21, train/loss: 0.773, train/accu: 0.773, memory: 0.098GB, iter: 300
-  Epoch: 22, train/loss: 0.786, train/accu: 0.750, memory: 0.113GB, iter: 0
-  Epoch: 22, train/loss: 0.775, train/accu: 0.768, memory: 0.109GB, iter: 50
-  Epoch: 22, train/loss: 0.796, train/accu: 0.764, memory: 0.127GB, iter: 100
-  Epoch: 22, train/loss: 0.794, train/accu: 0.762, memory: 0.107GB, iter: 150
-  Epoch: 22, train/loss: 0.791, train/accu: 0.763, memory: 0.096GB, iter: 200
-  Epoch: 22, train/loss: 0.781, train/accu: 0.767, memory: 0.094GB, iter: 250
-  Epoch: 22, train/loss: 0.777, train/accu: 0.769, memory: 0.131GB, iter: 300
-  Epoch: 23, train/loss: 0.726, train/accu: 0.812, memory: 0.107GB, iter: 0
-  Epoch: 23, train/loss: 0.761, train/accu: 0.783, memory: 0.135GB, iter: 50
-  Epoch: 23, train/loss: 0.796, train/accu: 0.774, memory: 0.100GB, iter: 100
-  Epoch: 23, train/loss: 0.793, train/accu: 0.767, memory: 0.098GB, iter: 150
-  Epoch: 23, train/loss: 0.798, train/accu: 0.765, memory: 0.105GB, iter: 200
-  Epoch: 23, train/loss: 0.797, train/accu: 0.765, memory: 0.098GB, iter: 250
-  Epoch: 23, train/loss: 0.796, train/accu: 0.763, memory: 0.098GB, iter: 300
-  Epoch: 24, train/loss: 0.509, train/accu: 0.875, memory: 0.117GB, iter: 0
-  Epoch: 24, train/loss: 0.733, train/accu: 0.789, memory: 0.129GB, iter: 50
-  Epoch: 24, train/loss: 0.733, train/accu: 0.785, memory: 0.104GB, iter: 100
-  Epoch: 24, train/loss: 0.745, train/accu: 0.778, memory: 0.105GB, iter: 150
-  Epoch: 24, train/loss: 0.741, train/accu: 0.780, memory: 0.104GB, iter: 200
-  Epoch: 24, train/loss: 0.745, train/accu: 0.779, memory: 0.098GB, iter: 250
-  Epoch: 24, train/loss: 0.768, train/accu: 0.774, memory: 0.107GB, iter: 300
-  Epoch: 25, train/loss: 0.767, train/accu: 0.812, memory: 0.096GB, iter: 0
-  Epoch: 25, train/loss: 0.736, train/accu: 0.781, memory: 0.131GB, iter: 50
-  Epoch: 25, train/loss: 0.765, train/accu: 0.776, memory: 0.135GB, iter: 100
-  Epoch: 25, train/loss: 0.783, train/accu: 0.770, memory: 0.105GB, iter: 150
-  Epoch: 25, train/loss: 0.790, train/accu: 0.768, memory: 0.094GB, iter: 200
-  Epoch: 25, train/loss: 0.787, train/accu: 0.771, memory: 0.096GB, iter: 250
-  Epoch: 25, train/loss: 0.789, train/accu: 0.770, memory: 0.098GB, iter: 300
-  Epoch: 26, train/loss: 0.792, train/accu: 0.750, memory: 0.123GB, iter: 0
-  Epoch: 26, train/loss: 0.732, train/accu: 0.787, memory: 0.135GB, iter: 50
-  Epoch: 26, train/loss: 0.718, train/accu: 0.791, memory: 0.135GB, iter: 100
-  Epoch: 26, train/loss: 0.744, train/accu: 0.784, memory: 0.168GB, iter: 150
-  Epoch: 26, train/loss: 0.749, train/accu: 0.780, memory: 0.133GB, iter: 200
-  Epoch: 26, train/loss: 0.760, train/accu: 0.776, memory: 0.102GB, iter: 250
-  Epoch: 26, train/loss: 0.764, train/accu: 0.775, memory: 0.102GB, iter: 300
-  Epoch: 27, train/loss: 0.431, train/accu: 0.875, memory: 0.100GB, iter: 0
-  Epoch: 27, train/loss: 0.807, train/accu: 0.765, memory: 0.133GB, iter: 50
